Start Time,End Time,Emotion,Probability
2024-12-04 10:24:43.779653,2024-12-04 10:24:44.333755,neutral,41.95747375488281
2024-12-04 10:24:44.333755,2024-12-04 10:24:44.566727,fear,97.5115418434143
2024-12-04 10:24:44.566727,2024-12-04 10:24:48.585490,neutral,31.730612023509266
2024-12-04 10:24:48.585490,2024-12-04 10:24:48.730278,sad,74.78494048118591
2024-12-04 10:24:48.730278,2024-12-04 10:24:50.111569,neutral,61.47611278010759
2024-12-04 10:24:50.111569,2024-12-04 10:24:50.450788,surprise,94.78229880332947
2024-12-04 10:24:50.450788,2024-12-04 10:24:54.066754,neutral,51.27640351338345
2024-12-04 10:24:54.066754,2024-12-04 10:24:54.201506,sad,73.802250623703
2024-12-04 10:24:54.201506,2024-12-04 10:24:55.478748,neutral,58.66941213607788
2024-12-04 10:24:55.478748,2024-12-04 10:24:55.801986,fear,57.06335646291712
2024-12-04 10:24:55.801986,2024-12-04 10:24:55.942321,sad,65.38096459990528
2024-12-04 10:24:55.942321,2024-12-04 10:24:56.358733,fear,38.028107520567474
2024-12-04 10:24:56.358733,2024-12-04 10:24:56.644164,sad,45.579689214192534
2024-12-04 10:24:56.644164,2024-12-04 10:24:57.069556,fear,51.15028619766235
2024-12-04 10:24:57.069556,2024-12-04 10:24:57.199084,sad,65.00623613633132
2024-12-04 10:24:57.199084,2024-12-04 10:24:57.320363,neutral,64.8942768573761
2024-12-04 10:24:57.320363,2024-12-04 10:24:57.438340,sad,74.73664283752441
2024-12-04 10:24:57.438340,2024-12-04 10:24:58.453790,neutral,58.56521129608154
2024-12-04 10:24:58.453790,2024-12-04 10:24:58.563637,sad,89.29800391197205
2024-12-04 10:24:58.563637,2024-12-04 10:25:00.515668,neutral,45.542996856152826
2024-12-04 10:25:00.515668,2024-12-04 10:25:00.654050,fear,95.23042440414429
2024-12-04 10:25:00.654050,2024-12-04 10:25:00.789475,neutral,56.18557333946228
2024-12-04 10:25:00.789475,2024-12-04 10:25:01.300015,fear,43.436161466102426
2024-12-04 10:25:01.300015,2024-12-04 10:25:01.431745,sad,45.85267901420593
2024-12-04 10:25:01.431745,2024-12-04 10:25:01.554989,neutral,49.56946966466127
2024-12-04 10:25:01.554989,2024-12-04 10:25:01.806420,fear,46.81149404117429
2024-12-04 10:25:01.806420,2024-12-04 10:25:01.942582,sad,52.39376425743103
2024-12-04 10:25:01.942582,2024-12-04 10:25:02.454735,fear,46.4420823122312
2024-12-04 10:25:02.454735,2024-12-04 10:25:02.587768,sad,54.4934126432784
2024-12-04 10:25:02.587768,2024-12-04 10:25:02.985035,fear,40.54633193655825
2024-12-04 10:25:02.985035,2024-12-04 10:25:03.103231,neutral,49.563068151474
2024-12-04 10:25:03.103231,2024-12-04 10:25:03.387411,fear,98.9160717825804
2024-12-04 10:25:03.387411,2024-12-04 10:25:03.510215,neutral,50.20681619644165
2024-12-04 10:25:03.510215,2024-12-04 10:25:03.629356,sad,55.43523962077622
2024-12-04 10:25:03.629356,2024-12-04 10:25:03.763617,neutral,41.82254574567625
2024-12-04 10:25:03.763617,2024-12-04 10:25:04.022844,fear,83.42040181159973
2024-12-04 10:25:04.022844,2024-12-04 10:25:05.125797,neutral,0.0
,2024-12-04 10:25:05.185879,,0.0
,2024-12-04 10:25:05.244893,,0.0
,2024-12-04 10:25:05.312243,,0.0
,2024-12-04 10:25:05.368484,,0.0
,2024-12-04 10:25:05.438793,,0.0
,2024-12-04 10:25:05.492568,,0.0
,2024-12-04 10:25:05.568640,,0.0
,2024-12-04 10:25:05.626083,,0.0
,2024-12-04 10:25:05.698129,,0.0
,2024-12-04 10:25:05.755999,,0.0
,2024-12-04 10:25:05.815947,,0.0
,2024-12-04 10:25:05.880053,,0.0
,2024-12-04 10:25:05.944989,,0.0
,2024-12-04 10:25:06.006968,,0.0
,2024-12-04 10:25:06.076502,,0.0
,2024-12-04 10:25:06.141376,,0.0
,2024-12-04 10:25:06.203923,,0.0
,2024-12-04 10:25:06.281661,,0.0
,2024-12-04 10:25:06.343271,,0.0
,2024-12-04 10:25:06.416145,,0.0
,2024-12-04 10:25:06.483236,,0.0
,2024-12-04 10:25:06.546800,,0.0
,2024-12-04 10:25:06.630375,,0.0
,2024-12-04 10:25:06.695960,,0.0
,2024-12-04 10:25:06.764100,,0.0
,2024-12-04 10:25:06.831577,,0.0
,2024-12-04 10:25:06.895592,,0.0
,2024-12-04 10:25:06.980464,,0.0
,2024-12-04 10:25:07.045737,,0.0
2024-12-04 10:25:07.139680,2024-12-04 10:25:07.846717,neutral,95.88152170181274
2024-12-04 10:25:07.846717,2024-12-04 10:25:07.948125,happy,99.50198528182419
2024-12-04 10:25:07.948125,2024-12-04 10:25:08.113382,neutral,0.0
,2024-12-04 10:25:08.180944,,0.0
,2024-12-04 10:25:08.249755,,0.0
2024-12-04 10:25:08.357784,2024-12-04 10:25:13.315794,neutral,65.93109965324402
2024-12-04 10:25:13.315794,2024-12-04 10:25:13.474808,sad,52.50931978225708
2024-12-04 10:25:13.474808,2024-12-04 10:25:13.623764,neutral,43.061330914497375
2024-12-04 10:25:13.623764,2024-12-04 10:25:13.767311,sad,77.69755986958029
2024-12-04 10:25:13.767311,2024-12-04 10:25:16.176360,neutral,43.45861077308655
2024-12-04 10:25:16.176360,2024-12-04 10:25:16.326708,fear,34.824152876386215
2024-12-04 10:25:16.326708,2024-12-04 10:25:16.807192,neutral,39.055375569418004
2024-12-04 10:25:16.807192,2024-12-04 10:25:16.934707,sad,37.57421672344208
2024-12-04 10:25:16.934707,2024-12-04 10:25:17.082093,neutral,37.08226680755615
2024-12-04 10:25:17.082093,2024-12-04 10:25:17.232260,sad,56.1018261970178
2024-12-04 10:25:17.232260,2024-12-04 10:25:18.163528,neutral,33.48024386403038
2024-12-04 10:25:18.163528,2024-12-04 10:25:18.326148,fear,99.55149292945862
2024-12-04 10:25:18.326148,2024-12-04 10:25:18.573409,neutral,62.54999041557312
2024-12-04 10:25:18.573409,2024-12-04 10:25:18.707776,surprise,75.04150867462158
2024-12-04 10:25:18.707776,2024-12-04 10:25:18.866697,neutral,54.19067740440369
2024-12-04 10:25:18.866697,2024-12-04 10:25:19.046681,surprise,93.14355254173279
2024-12-04 10:25:19.046681,2024-12-04 10:25:19.818505,neutral,63.742439300723156
2024-12-04 10:25:19.818505,2024-12-04 10:25:19.967795,surprise,98.86392341422122
2024-12-04 10:25:19.967795,2024-12-04 10:25:20.860599,neutral,0.0
,2024-12-04 10:25:20.936092,,0.0
,2024-12-04 10:25:21.008916,,0.0
,2024-12-04 10:25:21.074585,,0.0
2024-12-04 10:25:21.169624,2024-12-04 10:25:21.379852,neutral,0.0
2024-12-04 10:25:21.514317,2024-12-04 10:25:21.694347,neutral,89.9296760559082
2024-12-04 10:25:21.694347,2024-12-04 10:25:21.830718,fear,88.15754055976868
2024-12-04 10:25:21.830718,2024-12-04 10:25:22.495042,neutral,0.0
2024-12-04 10:25:22.603212,2024-12-04 10:25:23.345021,neutral,0.0
,2024-12-04 10:25:23.414210,,0.0
2024-12-04 10:25:23.522647,2024-12-04 10:25:23.633650,sad,90.89967012405396
2024-12-04 10:25:23.633650,2024-12-04 10:25:23.697691,neutral,0.0
,2024-12-04 10:25:23.761406,,0.0
,2024-12-04 10:25:23.824119,,0.0
,2024-12-04 10:25:23.879464,,0.0
,2024-12-04 10:25:23.944896,,0.0
,2024-12-04 10:25:24.015964,,0.0
,2024-12-04 10:25:24.080183,,0.0
,2024-12-04 10:25:24.199669,,0.0
,2024-12-04 10:25:24.263897,,0.0
,2024-12-04 10:25:24.330518,,0.0
,2024-12-04 10:25:24.394429,,0.0
,2024-12-04 10:25:24.458784,,0.0
,2024-12-04 10:25:24.524392,,0.0
,2024-12-04 10:25:24.582975,,0.0
,2024-12-04 10:25:24.640684,,0.0
,2024-12-04 10:25:24.713138,,0.0
,2024-12-04 10:25:24.777275,,0.0
,2024-12-04 10:25:24.842765,,0.0
,2024-12-04 10:25:24.910133,,0.0
,2024-12-04 10:25:24.980655,,0.0
,2024-12-04 10:25:25.049575,,0.0
,2024-12-04 10:25:25.123163,,0.0
,2024-12-04 10:25:25.187563,,0.0
,2024-12-04 10:25:25.248777,,0.0
,2024-12-04 10:25:25.319587,,0.0
,2024-12-04 10:25:25.382312,,0.0
,2024-12-04 10:25:25.436119,,0.0
,2024-12-04 10:25:25.508394,,0.0
,2024-12-04 10:25:25.566642,,0.0
,2024-12-04 10:25:25.637815,,0.0
,2024-12-04 10:25:25.705265,,0.0
,2024-12-04 10:25:25.780022,,0.0
,2024-12-04 10:25:25.844253,,0.0
,2024-12-04 10:25:25.925654,,0.0
,2024-12-04 10:25:25.995677,,0.0
,2024-12-04 10:25:26.053196,,0.0
,2024-12-04 10:25:26.169614,,0.0
,2024-12-04 10:25:26.235983,,0.0
,2024-12-04 10:25:26.310716,,0.0
,2024-12-04 10:25:26.390592,,0.0
,2024-12-04 10:25:26.467457,,0.0
,2024-12-04 10:25:26.534288,,0.0
,2024-12-04 10:25:26.594953,,0.0
,2024-12-04 10:25:26.651913,,0.0
,2024-12-04 10:25:26.719095,,0.0
,2024-12-04 10:25:26.781053,,0.0
,2024-12-04 10:25:26.840932,,0.0
,2024-12-04 10:25:26.912249,,0.0
,2024-12-04 10:25:26.974374,,0.0
,2024-12-04 10:25:27.043255,,0.0
,2024-12-04 10:25:27.112983,,0.0
,2024-12-04 10:25:27.184611,,0.0
,2024-12-04 10:25:27.241034,,0.0
,2024-12-04 10:25:27.305597,,0.0
,2024-12-04 10:25:27.367482,,0.0
,2024-12-04 10:25:27.434879,,0.0
,2024-12-04 10:25:27.497952,,0.0
2024-12-04 10:25:27.613479,2024-12-04 10:25:28.194524,neutral,0.0
2024-12-04 10:25:28.297396,2024-12-04 10:25:30.324162,neutral,0.0
,2024-12-04 10:25:30.402938,,0.0
,2024-12-04 10:25:30.472638,,0.0
,2024-12-04 10:25:30.547770,,0.0
,2024-12-04 10:25:30.609276,,0.0
,2024-12-04 10:25:30.675708,,0.0
,2024-12-04 10:25:30.752284,,0.0
2024-12-04 10:25:30.933930,2024-12-04 10:25:32.388997,neutral,30.50691783428192
2024-12-04 10:25:32.388997,2024-12-04 10:25:32.934274,happy,49.85736310482025
2024-12-04 10:25:32.934274,2024-12-04 10:25:33.718691,neutral,57.245343923568726
2024-12-04 10:25:33.718691,2024-12-04 10:25:33.844863,surprise,82.37318396568298
2024-12-04 10:25:33.844863,2024-12-04 10:25:33.983312,neutral,86.07110811127521
2024-12-04 10:25:33.983312,2024-12-04 10:25:34.259592,surprise,72.1417248249054
2024-12-04 10:25:34.259592,2024-12-04 10:25:34.398750,neutral,90.96376299858093
2024-12-04 10:25:34.398750,2024-12-04 10:25:35.079379,surprise,45.6413209438324
2024-12-04 10:25:35.079379,2024-12-04 10:25:35.186675,sad,31.166625022888184
2024-12-04 10:25:35.186675,2024-12-04 10:25:35.311402,fear,38.58945071697235
2024-12-04 10:25:35.311402,2024-12-04 10:25:35.863675,surprise,76.66565457991904
2024-12-04 10:25:35.863675,2024-12-04 10:25:36.302595,neutral,65.86717178020814
2024-12-04 10:25:36.302595,2024-12-04 10:25:37.220184,surprise,63.1087601184845
2024-12-04 10:25:37.220184,2024-12-04 10:25:38.867793,neutral,87.53376007080078
2024-12-04 10:25:38.867793,2024-12-04 10:25:38.993956,surprise,66.5943443775177
2024-12-04 10:25:38.993956,2024-12-04 10:25:40.148652,neutral,61.368022046567326
2024-12-04 10:25:40.148652,2024-12-04 10:25:40.269851,surprise,96.23187780380249
2024-12-04 10:25:40.269851,2024-12-04 10:25:42.280176,neutral,99.12970076445332
