Start Time,End Time,Emotion,Probability
,2024-12-04 09:46:05.432728,,0
,2024-12-04 09:46:05.531395,,0
2024-12-04 09:46:05.655330,2024-12-04 09:46:07.920423,neutral,0
,2024-12-04 09:46:07.984702,,0
,2024-12-04 09:46:08.050891,,0
,2024-12-04 09:46:08.122627,,0
2024-12-04 09:46:08.235138,2024-12-04 09:46:08.401193,neutral,0
,2024-12-04 09:46:08.459319,,0
,2024-12-04 09:46:08.518788,,0
,2024-12-04 09:46:08.570229,,0
2024-12-04 09:46:08.653450,2024-12-04 09:46:08.715259,neutral,0
,2024-12-04 09:46:08.780119,,0
,2024-12-04 09:46:08.832010,,0
,2024-12-04 09:46:08.888695,,0
,2024-12-04 09:46:08.941650,,0
,2024-12-04 09:46:08.993386,,0
,2024-12-04 09:46:09.048468,,0
,2024-12-04 09:46:09.110241,,0
,2024-12-04 09:46:09.178659,,0
,2024-12-04 09:46:09.235516,,0
,2024-12-04 09:46:09.291840,,0
,2024-12-04 09:46:09.348570,,0
,2024-12-04 09:46:09.427203,,0
,2024-12-04 09:46:09.485094,,0
,2024-12-04 09:46:09.549483,,0
,2024-12-04 09:46:09.606474,,0
,2024-12-04 09:46:09.664563,,0
,2024-12-04 09:46:09.725657,,0
,2024-12-04 09:46:09.789351,,0
,2024-12-04 09:46:09.851604,,0
,2024-12-04 09:46:09.911928,,0
,2024-12-04 09:46:09.979277,,0
,2024-12-04 09:46:10.046143,,0
,2024-12-04 09:46:10.101795,,0
,2024-12-04 09:46:10.160767,,0
,2024-12-04 09:46:10.218663,,0
,2024-12-04 09:46:10.288359,,0
,2024-12-04 09:46:10.348697,,0
,2024-12-04 09:46:10.410551,,0
2024-12-04 09:46:10.524044,2024-12-04 09:46:11.775437,neutral,0
2024-12-04 09:46:11.857522,2024-12-04 09:46:12.261951,neutral,0
2024-12-04 09:46:12.372626,2024-12-04 09:46:14.920571,neutral,74.05365550837848
2024-12-04 09:46:14.920571,2024-12-04 09:46:15.047686,fear,50.385570480159465
2024-12-04 09:46:15.047686,2024-12-04 09:46:15.108704,neutral,0
2024-12-04 09:46:15.194355,2024-12-04 09:46:15.288492,fear,96.68261985079168
2024-12-04 09:46:15.288492,2024-12-04 09:46:16.137686,neutral,0
2024-12-04 09:46:16.256667,2024-12-04 09:46:16.799147,neutral,0
,2024-12-04 09:46:16.865037,,0
,2024-12-04 09:46:16.931392,,0
,2024-12-04 09:46:17.000448,,0
,2024-12-04 09:46:17.065945,,0
,2024-12-04 09:46:17.130978,,0
,2024-12-04 09:46:17.190948,,0
,2024-12-04 09:46:17.255696,,0
,2024-12-04 09:46:17.320574,,0
2024-12-04 09:46:17.432427,2024-12-04 09:46:17.799696,neutral,73.39600641775054
