Start Time,End Time,Emotion,Probability
2024-12-04 10:19:24.014603,2024-12-04 10:19:25.493050,neutral,77.75408493006735
2024-12-04 10:19:25.493050,2024-12-04 10:19:25.641510,sad,99.47361350059509
2024-12-04 10:19:25.641510,2024-12-04 10:19:31.047511,neutral,52.30300426483154
2024-12-04 10:19:31.047511,2024-12-04 10:19:31.188778,sad,83.12973380088806
2024-12-04 10:19:31.188778,2024-12-04 10:19:34.785226,neutral,92.21904185045264
2024-12-04 10:19:34.785226,2024-12-04 10:19:34.922116,happy,56.58131320253768
2024-12-04 10:19:34.922116,2024-12-04 10:19:35.300966,neutral,81.85525752839357
2024-12-04 10:19:35.300966,2024-12-04 10:19:35.441591,happy,71.4091956615448
2024-12-04 10:19:35.441591,2024-12-04 10:19:35.579427,neutral,89.14844925096328
2024-12-04 10:19:35.579427,2024-12-04 10:19:35.721839,happy,52.27478742599487
2024-12-04 10:19:35.721839,2024-12-04 10:19:36.813234,neutral,58.42094321001253
2024-12-04 10:19:36.813234,2024-12-04 10:19:37.091196,fear,92.71560820527175
2024-12-04 10:19:37.091196,2024-12-04 10:19:37.396549,happy,53.33935022354126
2024-12-04 10:19:37.396549,2024-12-04 10:19:38.546217,neutral,93.97895932197571
2024-12-04 10:19:38.546217,2024-12-04 10:19:38.693933,happy,89.82977806507218
2024-12-04 10:19:38.693933,2024-12-04 10:19:40.793175,neutral,58.80069136619568
2024-12-04 10:19:40.793175,2024-12-04 10:19:41.080904,fear,82.95183777809143
2024-12-04 10:19:41.080904,2024-12-04 10:19:41.531545,neutral,92.65642762184143
